"month","day","year","sno","state","total_schools","reported_schools","meal_not_served","food_grains","fund","cook_cum_helper","ngo_shg","holidays","others"
"2","03","2026","1","ANDHRA PRADESH","43218","43006","5","0",0,"0",0,"0","5"
"2","03","2026","2","ASSAM","43785","41986","5","0",0,"0",0,"1","4"
"2","03","2026","3","BIHAR","65961","59272","143","5",1,"7",1,"0","129"
"2","03","2026","4","DELHI","2793","2784","2","0",0,"0",0,"0","2"
"2","03","2026","5","GOA","1216","1216","11","2",0,"0",0,"9","0"
"2","03","2026","6","GUJARAT","32251","31702","91","5",0,"35",0,"8","43"
"2","03","2026","7","HARYANA","14197","12960","2","0",0,"1",0,"0","1"
"2","03","2026","8","HIMACHAL PRADESH","14416","8956","32","0",0,"0",1,"24","7"
"2","03","2026","9","MADHYA PRADESH","88192","84612","436","19",3,"3",0,"1","410"
"2","03","2026","10","MAHARASHTRA","83605","77152","651","0",1,"61",0,"451","138"
"2","03","2026","11","MIZORAM","2481","1934","1","0",0,"0",0,"0","1"
"2","03","2026","12","ODISHA","50354","29048","9","0",0,"1",0,"0","8"
"2","03","2026","13","PUNJAB","19574","16977","11","0",0,"0",0,"0","11"
"2","03","2026","14","RAJASTHAN","67628","49528","728","86",0,"24",5,"424","189"
"2","03","2026","15","TAMIL NADU","41658","33337","98","0",0,"1",0,"43","54"
"2","03","2026","16","TRIPURA","4327","4316","6","0",0,"0",0,"0","6"
"2","03","2026","17","UTTAR PRADESH","141688","130660","847","22",19,"3",21,"106","676"
"2","03","2026","18","WEST BENGAL","81824","75604","3913","1",0,"16",1,"300","3595"
