month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
2,4,2026,1,ASSAM,43785,17360,15,2,0,0,0,0,13
2,4,2026,2,GOA,1216,918,37,0,0,0,0,36,1
2,4,2026,3,HIMACHAL PRADESH,14416,5986,3,2,0,0,0,0,1
2,4,2026,4,MADHYA PRADESH,88192,22102,58,8,0,0,0,0,50
2,4,2026,5,MAHARASHTRA,83605,20331,227,0,0,16,0,175,36
2,4,2026,6,MIZORAM,2481,1486,1,0,0,0,0,0,1
2,4,2026,7,RAJASTHAN,67628,20276,136,37,1,12,2,26,58
2,4,2026,8,TAMIL NADU,41658,38078,197,0,0,1,0,135,61
2,4,2026,9,TRIPURA,4327,2306,9,2,0,0,0,5,2
2,4,2026,10,UTTAR PRADESH,141688,14355,299,6,8,1,14,172,98
2,4,2026,11,UTTARAKHAND,16273,9320,21,3,0,0,0,10,8
