month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,5,2026,1,ANDHRA PRADESH,43218,43177,3,0,0,0,0,0,3
1,5,2026,2,ASSAM,43785,33027,3,1,0,1,0,0,1
1,5,2026,3,BIHAR,65961,6185,1469,4,1,3,1,196,1264
1,5,2026,4,GOA,1216,1161,20,0,0,0,0,20,0
1,5,2026,5,GUJARAT,32251,31816,59,0,0,24,1,5,29
1,5,2026,6,MADHYA PRADESH,88192,56740,3707,107,2,2,1,2571,1024
1,5,2026,7,MAHARASHTRA,83605,78131,959,0,7,188,0,580,184
1,5,2026,8,ODISHA,50354,37390,12,0,0,1,0,0,11
1,5,2026,9,PUDUCHERRY,427,427,1,0,0,0,0,1,0
1,5,2026,10,TAMIL NADU,41658,39679,54,0,0,0,0,6,48
1,5,2026,11,TRIPURA,4327,4282,1534,4,0,0,2,1505,23
1,5,2026,12,WEST BENGAL,81824,74042,4119,3,0,18,4,1419,2675
1,6,2026,1,ANDHRA PRADESH,43218,43169,4,0,0,0,0,0,4
1,6,2026,2,ASSAM,43785,29692,7,0,0,0,0,4,3
1,6,2026,3,BIHAR,65961,4768,1360,2,0,1,0,176,1181
1,6,2026,4,GOA,1216,1213,38,0,0,0,0,38,0
1,6,2026,5,GUJARAT,32251,31745,90,5,0,26,0,6,53
1,6,2026,6,MADHYA PRADESH,88192,45748,2999,67,2,1,2,2725,202
1,6,2026,7,MAHARASHTRA,83605,75749,605,0,10,188,0,132,275
1,6,2026,8,ODISHA,50354,42767,17,0,0,0,0,1,16
1,6,2026,9,TAMIL NADU,41658,39580,70,0,0,0,0,8,62
1,6,2026,10,TRIPURA,4327,347,340,11,0,0,2,311,16
1,6,2026,11,WEST BENGAL,81824,69643,5002,0,0,16,3,2328,2655
1,7,2026,1,A & N ISLANDS,325,325,1,0,0,0,0,1,0
1,7,2026,2,ANDHRA PRADESH,43218,43155,4,0,0,0,0,0,4
1,7,2026,3,ASSAM,43785,34350,6,0,0,0,0,6,0
1,7,2026,4,BIHAR,65961,7783,1108,4,1,1,2,135,965
1,7,2026,5,GOA,1216,1216,16,0,0,0,0,16,0
1,7,2026,6,GUJARAT,32251,31759,72,0,0,27,0,7,38
1,7,2026,7,MADHYA PRADESH,88192,55822,4836,86,2,0,2,2310,2436
1,7,2026,8,MAHARASHTRA,83605,74830,739,0,9,208,0,232,290
1,7,2026,9,MIZORAM,2481,1433,4,0,0,0,0,2,2
1,7,2026,10,ODISHA,50354,42571,21,0,0,0,0,2,19
1,7,2026,11,TAMIL NADU,41658,37464,67,0,0,0,0,14,53
1,7,2026,12,TRIPURA,4327,142,138,15,0,0,3,106,14
1,7,2026,13,WEST BENGAL,81824,73953,1791,2,2,19,4,490,1274
1,8,2026,1,A & N ISLANDS,325,325,7,0,0,0,0,6,1
1,8,2026,2,ANDHRA PRADESH,43218,43115,3,0,0,0,0,0,3
1,8,2026,3,ASSAM,43785,31714,506,3,0,1,0,452,50
1,8,2026,4,GOA,1216,1216,13,0,0,0,0,13,0
1,8,2026,5,GUJARAT,32251,31795,80,2,1,25,0,4,48
1,8,2026,6,MADHYA PRADESH,88192,68098,5769,128,1,1,14,2740,2885
1,8,2026,7,MAHARASHTRA,83605,77368,972,0,7,212,0,304,449
1,8,2026,8,MIZORAM,2481,1495,32,0,0,0,0,32,0
1,8,2026,9,ODISHA,50354,42912,19,0,0,0,0,2,17
1,8,2026,10,TRIPURA,4327,138,135,5,0,0,0,122,8
1,8,2026,11,WEST BENGAL,81824,77235,1156,1,0,15,2,114,1024
1,9,2026,1,A & N ISLANDS,325,325,16,0,0,0,0,16,0
1,9,2026,2,ANDHRA PRADESH,43218,43149,2,0,0,0,0,0,2
1,9,2026,3,ASSAM,43785,34701,450,1,0,0,0,362,87
1,9,2026,4,BIHAR,65961,8652,926,0,2,0,3,189,732
1,9,2026,5,GOA,1216,1216,11,0,0,0,0,7,4
1,9,2026,6,GUJARAT,32251,31732,92,0,1,24,1,9,57
1,9,2026,7,HIMACHAL PRADESH,14416,8011,42,1,0,0,0,29,12
1,9,2026,8,MADHYA PRADESH,88192,68527,5303,106,0,1,1,1945,3250
1,9,2026,9,MAHARASHTRA,83605,78551,629,0,10,225,0,157,237
1,9,2026,10,ODISHA,50354,41441,298,0,0,0,0,137,161
1,9,2026,11,TAMIL NADU,41658,39335,206,0,0,0,0,138,68
1,9,2026,12,TRIPURA,4327,78,77,9,0,0,0,60,8
1,9,2026,13,WEST BENGAL,81824,75085,1525,1,0,16,2,370,1136
1,10,2026,1,ASSAM,43785,30271,324,7,0,1,0,263,53
1,10,2026,2,BIHAR,65961,7320,974,0,2,0,0,128,844
1,10,2026,3,DNH & DD,304,304,2,0,0,0,0,2,0
1,10,2026,4,GOA,1216,1216,21,1,0,0,0,18,2
1,10,2026,5,GUJARAT,32251,31679,81,2,2,32,0,5,40
1,10,2026,6,MADHYA PRADESH,88192,67459,3755,132,3,2,0,1444,2174
